Community_District,boro_cd,mean_2013,mean_2014,mean_2015,mean_2016,mean_2017,mean_2018,mean_2019,mean_2020,mean_2021
Financial District,101,30.3,28.9,26.7,26.3,25.9,25.3,24.3,21.7,21.6
Greenwich Village and Soho,102,29.3,28.1,26.3,25.9,25.7,24.8,23.4,21.3,21.2
Lower East Side and Chinatown,103,26.6,25.7,24.3,24,23.6,22.4,21.2,19.4,19.3
Clinton and Chelsea,104,30.6,29.2,27.2,26.7,26.6,25.7,24.6,22.5,22.3
Midtown,105,38.7,37.1,32.9,31.6,32,31.1,28.5,26.3,25.2
Stuyvesant Town and Turtle Bay,106,33.4,32.2,29.3,28.4,28.4,26.6,24.5,22.6,22.1
Upper West Side,107,26.5,25.1,23.8,23.1,23.4,22.2,20.8,19.6,19.2
Upper East Side,108,28.7,27.8,25.8,24.9,25.1,23.5,22.2,20.9,20.4
Morningside Heights and Hamilton Heights,109,25.2,23.6,22.9,22,22.4,21.5,19.2,18.6,18
Central Harlem,110,25.4,24,23.2,22.3,22.7,21.7,19.8,19.1,18.3
East Harlem,111,24.7,23.6,22.9,22.1,22.3,20.9,19.4,18.8,18.3
Washington Heights and Inwood,112,22.2,20.6,20.7,19.4,20.1,19.3,16.9,17.9,16.9
Mott Haven and Melrose,201,22.9,22.1,21.8,20.8,21.2,21.2,19.7,19.1,18.7
Hunts Point and Longwood,202,21.3,21,20.8,19.8,20.3,20.4,19,18.8,19.3
Morrisania and Crotona,203,22.3,21.6,21.4,20.1,20.8,19.8,17.8,18.1,17.3
Highbridge and Concourse,204,24,22.7,22.4,21.2,21.8,20.9,18.7,19,18.1
Fordham and University Heights,205,23.9,22.7,22.7,21.2,22,20.5,18.2,19.1,18.1
Belmont and East Tremont,206,21.9,21.4,21.4,19.9,20.7,19.2,17.1,18.2,17.4
Kingsbridge Heights and Bedford,207,21.5,20.7,20.9,19.1,20.3,18.4,16.2,17.9,16.9
Riverdale and Fieldston,208,18.2,17.1,17.8,16,17.3,15.8,13.5,15.8,14.7
Parkchester and Soundview,209,19.9,20.2,20.1,18.8,19.5,17.9,16.4,16.9,16.6
Throgs Neck and Co-op City,210,17.4,18.5,18.8,17.2,18.1,15.8,14.6,15.5,15.4
Morris Park and Bronxdale,211,19,19.4,19.6,17.9,19,17.1,15.5,16.8,16.3
Williamsbridge and Baychester,212,18,18.3,19,16.9,18.4,15.8,14.2,16.5,15.6
Greenpoint and Williamsburg,301,22.9,22.4,21.7,21.4,21.1,22.1,21.5,19.7,20.7
Fort Greene and Brooklyn Heights,302,24.2,23.4,22.4,22.2,21.7,21.1,19.9,18.4,18.8
Bedford Stuyvesant,303,22.8,22.2,21.3,20.8,20.6,20,18.4,17.5,17.9
Bushwick,304,21.7,21.2,20.3,19.8,19.8,19.5,18.2,17.5,17.5
East New York and Starrett City,305,19.8,19.3,18.7,17.8,17.9,17.2,15.4,15.5,15.9
Park Slope and Carroll Gardens,306,22.7,22,21.4,21.2,20.6,21.2,20.1,18.2,18.6
Sunset Park,307,20.7,20.3,19.8,19.4,19,19.8,18.5,16.9,18.1
Crown Heights and Prospect Heights,308,22.8,22.2,21.3,20.7,20.5,19.9,18.2,17.3,17.5
South Crown Heights and Lefferts Gardens,309,22.1,21.7,20.8,20.1,19.9,19.1,17.4,16.9,17
Bay Ridge and Dyker Heights,310,19.5,19.6,19.2,18.5,18.2,17.7,16.4,15.2,16.4
Bensonhurst,311,19,19.7,19.1,18,18.1,17.1,15.9,15.4,16.4
Borough Park,312,20.5,20.6,19.9,19.1,19,18.5,17,16.2,16.9
Coney Island,313,15.1,16.6,16.1,14.6,15.1,13.6,12.9,13,14.1
Flatbush and Midwood,314,19.8,20,19.3,18.3,18.3,17.3,15.8,15.6,16.2
Sheepshead Bay,315,16.8,18,17.4,15.9,16.4,14.5,13.6,14,14.9
Brownsville,316,21.4,20.9,20.1,19.3,19.3,18.8,17,16.8,16.7
East Flatbush,317,20.7,20.5,19.8,18.9,18.9,18.1,16.4,16.2,16.5
Flatlands and Canarsie,318,16.7,17.1,16.6,15.4,15.7,14.4,13.1,13.7,14.3
Long Island City and Astoria,401,21.4,21.2,20.6,20.1,20.3,19.5,18.4,17.6,17.3
Woodside and Sunnyside,402,22.1,21.9,21.2,20.8,20.7,21.1,20.7,19.2,20.2
Jackson Heights,403,21.6,21.7,21,20.3,20.5,19.1,17.6,17,16.9
Elmhurst and Corona,404,22.8,22.8,21.9,21.2,21.3,19.9,18.2,17.5,17.5
Ridgewood and Maspeth,405,20.4,20.1,19.4,18.8,18.8,18.5,17.1,16.5,17.5
Rego Park and Forest Hills,406,21.1,20.9,20,19.3,19.3,18.3,16.4,15.7,15.8
Flushing and Whitestone,407,18.7,19.4,19,18.2,18.4,17.6,16.3,15.6,15.7
Hillcrest and Fresh Meadows,408,18.7,18.8,18.3,17.6,17.7,17.1,15.1,14.1,14.7
Kew Gardens and Woodhaven,409,20.6,20.1,19.5,18.7,18.8,18.2,16.1,15.5,15.8
South Ozone Park and Howard Beach,410,19,18.6,18.2,17.2,17.4,16.6,14.5,14.3,14.6
Bayside and Little Neck,411,16.8,17.8,17.6,16.8,16.9,16.1,14.5,13.4,14.2
Jamaica and Hollis,412,19.1,18.9,18.5,17.6,17.8,17.7,15.7,14.3,15.1
Queens Village,413,16.9,17.3,17.2,16.2,16.5,16.3,14.6,13.1,14.6
Rockaway and Broad Channel,414,12.5,13.7,13.4,11.6,12.6,10.4,9.9,10.5,11.3
St. George and Stapleton,501,17.6,17.1,16.9,16.9,16.4,16.1,15,13.7,15.3
South Beach and Willowbrook,502,13.8,14,13.6,13.4,13.2,12.8,11.7,11.5,13
Tottenville and Great Kills,503,11.4,12.5,11.8,11.4,11.6,11,10.2,10.5,11.1
